,Title,published_date,views,likes,comments,Month
265,Where YOU Should Start With Data Science Projects,2019-02-19,16021,329,17,Feb
266,Watch This Before Applying to Data Science Jobs,2019-02-04,1480,66,13,Feb
267,My Top 5 Data Science Resources for 2019,2019-01-05,3674,121,17,Jan
268,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,825,37,6,Dec
269,The Best Way to Predict NBA Minutes Played,2018-12-11,4149,106,14,Dec
270,Demystifying Data Science Roles,2018-11-30,1124,53,5,Nov
271,How to Simulate NBA Games in Python,2018-11-19,17407,386,54,Nov
272,Should You Get A Masters in Data Science?,2018-11-14,20456,304,138,Nov
273,How I Became A Data Scientist From a Business Background,2018-11-12,6374,197,23,Nov
274,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8528,193,17,Jul
275,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18741,292,41,Nov
